username,factor_rep,verified,followersCount,friendsCount,tweetsCount,listedCount,mediaCount,avg_reply,avg_retweet,like_reply,avg_quote,hora_rep,followers_diff,clase
brunismicelli,262,0,76,438,3854,0,26,0.0,0.0,0.0,0.0,1.0,-76,bot
dewiesumarga,495,0,463,329,22890,6,207,0.0,0.0,0.02857142857142857,0.0,0.11428571428571428,-463,bot
kohlenklau,6,0,14,1,2861,0,1,0.0,0.0,1.0,0.0,1.0,-14,bot
Teddypinderass,27,0,925,805,281161,15,4344,0.20930232558139536,0.09302325581395349,0.09302325581395349,0.046511627906976744,0.18604651162790697,-925,bot
MichaelGreens12,507,0,3416,4864,67747,1,65,0.3829787234042553,0.44680851063829785,2.9361702127659575,0.02127659574468085,0.1702127659574468,-3416,bot
ThrustfulMite,422,0,73,340,252,0,13,0.2549019607843137,0.0,0.2549019607843137,0.0,0.2549019607843137,-73,bot
antonidakondra3,225,0,10,29,1326,0,0,0.0,0.0,1.0,0.0,1.0,-10,bot
abloggerblogs,263,0,10,8,2926,1,0,0.0,0.0,0.0,0.0,0.2857142857142857,-10,bot
ughke,20,0,83,46,13566,1,25,0.10638297872340426,0.02127659574468085,0.44680851063829785,0.02127659574468085,0.1276595744680851,-83,bot
natures_table,1900,0,1025,1630,3400,53,311,0.057692307692307696,0.0,0.038461538461538464,0.0,0.38461538461538464,-1025,bot
AskPlayStation,586,1,1750096,2738,1231628,3358,9215,9.058823529411764,14.450980392156863,115.45098039215686,2.2745098039215685,0.19607843137254902,-1750095,bot
KalaniBallFree,265,1,1261544,771935,55326,2096,53607,0.9387755102040817,4.3061224489795915,26.571428571428573,0.1836734693877551,0.2653061224489796,-1261543,bot
catlopez,136,0,37,46,2293,2,4,0.041666666666666664,0.020833333333333332,0.041666666666666664,0.0,0.125,-37,bot
augustus0861,40,0,3,28,595,0,0,0.043478260869565216,0.043478260869565216,0.13043478260869565,0.0,0.4782608695652174,-3,bot
GPLConway,309,0,82,123,5819,11,54,0.0,0.09615384615384616,0.019230769230769232,0.0,0.28846153846153844,-82,bot
AppalaDBA,1307,0,8,9,708,0,1,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285,-8,bot
tburrus1932,230,0,11,85,1410,0,6,0.0,0.0,0.0,0.0,0.16666666666666666,-11,bot
tango_latte,655,0,10,46,1405,0,3,0.0,0.0,0.3,0.0,0.2,-10,bot
ESPNFC,279,1,6661703,614,151547,13228,61231,302.86538461538464,1679.0384615384614,25503.78846153846,200.3846153846154,0.1346153846153846,-6661702,bot
Cristinatoi1,44,0,3,19,20481,0,0,0.0,0.0,0.0,0.0,0.5,-3,bot
bmore1051,240,0,26,350,2905,2,3,0.08333333333333333,0.041666666666666664,1.25,0.0,0.125,-26,bot
JonahBokaer,309,0,957,249,2538,57,55,0.04081632653061224,0.1836734693877551,0.9183673469387755,0.02040816326530612,0.14285714285714285,-957,bot
shaniluvcorry,468,0,56,162,4101,1,31,0.38636363636363635,0.022727272727272728,0.9090909090909091,0.0,0.3409090909090909,-56,bot
latin_lv,73,0,13,100,1395,0,1,0.045454545454545456,0.0,0.22727272727272727,0.0,0.22727272727272727,-13,bot
HinghamMAGOP,1745,0,808,805,675,9,11,0.0392156862745098,0.37254901960784315,0.45098039215686275,0.0196078431372549,0.9411764705882353,-808,bot
kkmadds,295,0,488,425,16875,3,65,0.29545454545454547,0.6363636363636364,4.409090909090909,0.045454545454545456,0.11363636363636363,-488,bot
ajgagaza,206,0,181,210,2453,1,116,0.17073170731707318,0.07317073170731707,1.170731707317073,0.0,0.12195121951219512,-181,bot
MACVIVAGLAMFund,630,0,7902,645,3537,94,184,0.058823529411764705,2.1176470588235294,5.431372549019608,0.19607843137254902,0.17647058823529413,-7902,bot
mtvmoviefan,103,0,15,59,2920,0,0,0.0625,0.0625,0.0625,0.0,0.25,-15,bot
winlifenow1,595,0,88,542,3129,1,9,0.08823529411764706,0.058823529411764705,0.11764705882352941,0.0,0.14705882352941177,-88,bot
DanOlsen11,1552,0,15,127,37,0,0,0.0,0.0,0.1,0.0,0.2,-15,bot
RCravensIII,53,0,53,242,2853,0,2,0.0,0.0,0.0,0.0,0.25,-53,bot
Ncaffee6,28,0,292,467,382,2,0,0.0,2.0,2.0,0.0,1.0,-292,bot
SzeL1,1037,0,11,69,2098,1,6,0.3333333333333333,0.0,0.0,0.0,0.2222222222222222,-11,bot
theDiBa,109,0,53,71,3068,0,18,0.08823529411764706,0.029411764705882353,0.0,0.0,0.2647058823529412,-53,bot
TickerReport,705,0,3895,41,2067108,192,3302,0.0,0.0,0.0,0.019230769230769232,0.7115384615384616,-3895,bot
hoffsox1972,141,0,23,161,1593,0,1,0.1875,0.0,0.125,0.0,0.16666666666666666,-23,bot
BrewerVASocial,300,1,119255,56053,21379,2039,6749,0.75,1.7708333333333333,6.541666666666667,0.10416666666666667,0.16666666666666666,-119254,bot
relevantj,83,0,18,74,2807,1,0,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,-18,bot
tedmed51,115,0,274,422,3650,3,44,0.15555555555555556,0.022222222222222223,0.2,0.0,0.15555555555555556,-274,bot
BlueWaterDays,139,0,86600,25958,238298,1194,1519,0.6122448979591837,1.3673469387755102,3.6530612244897958,0.12244897959183673,0.2653061224489796,-86600,bot
R9W3Xt35FQlPbCb,990,0,7,57,122,0,11,0.0,0.0,0.0,0.0,0.3333333333333333,-7,bot
msknharris75,152,0,69,847,2387,0,15,0.3142857142857143,0.02857142857142857,0.5428571428571428,0.0,0.14285714285714285,-69,bot
ArlenePurple,165,0,14,81,1256,0,29,0.0,0.03333333333333333,0.13333333333333333,0.0,0.2,-14,bot
paper_angels,244,0,48,293,103,1,20,0.13043478260869565,0.7608695652173914,2.217391304347826,0.15217391304347827,0.15217391304347827,-48,bot
DiveSiteNet,130,0,7999,1912,6590,40,1434,0.0,0.0,0.09803921568627451,0.0,0.29411764705882354,-7999,bot
FilmRevisionist,174,0,5,0,1763,2,0,0.0,0.0,0.0,0.0,0.28,-5,bot
Changmaryin,135,0,5,24,20,0,2,0.0,0.0,0.0,0.0,1.0,-5,bot
elisabettaragg1,45,0,182,129,4848,0,20,0.0,0.0,0.0,0.0,1.0,-182,bot
PSSTChicago,197,0,31,50,2844,1,3,0.0,0.19047619047619047,0.047619047619047616,0.0,0.16666666666666666,-31,bot
