username,factor_rep,verified,followersCount,friendsCount,tweetsCount,listedCount,mediaCount,avg_reply,avg_retweet,like_reply,avg_quote,followers_diff,clase
ACEMoney1138,4.0,False,95,156,4171,2,1094,0.1428571428571428,0.0,0.7142857142857143,0.0,-61,human
ACXInfo,60.0,False,417,4,83,24,19,0.6521739130434783,0.1739130434782608,1.0217391304347827,0.108695652173913,413,bot
ADevotedYogi,110.0,False,339802,133813,390096,2524,60320,0.0612244897959183,1.346938775510204,3.3877551020408165,0.0408163265306122,205989,bot
AGSJournal,27.0,False,9725,1362,4414,143,1868,0.4285714285714285,5.285714285714286,16.714285714285715,1.0,8363,human
AHRQNews,23.0,True,75948,1661,42924,1517,26762,0.125,0.125,0.75,0.0,74287,human
AI6_NET,23.0,False,3349,4168,230,17,74,0.2,6.5,10.5,0.0,-819,human
AIxDesignCo,13.0,False,529,176,588,14,396,0.1428571428571428,0.1428571428571428,1.1428571428571428,0.0,353,human
AKCessPro,44.0,False,766,2266,8579,0,496,0.4,0.2,2.2,0.6,-1500,human
AKTU_Lucknow,13.0,True,185760,11,8340,47,1533,0.0,11.666666666666666,95.66666666666669,2.0,185749,human
AKoutnik,45.0,False,1545,414,2139,15,84,0.6,0.5,6.2,0.1,1131,human
ALOFootball,172.0,False,196,635,405,0,1,0.0392156862745098,0.2549019607843137,0.6666666666666666,0.0588235294117647,-439,bot
ALioness35,4.0,False,48,512,1794,2,26,0.3333333333333333,0.0,0.0,0.0,-464,human
ALkhALeeFA,7.0,False,4953,1112,14706,7,890,0.0,0.0,1.0,0.0,3841,human
AMAntonsonPhD,28.0,False,282,433,327,0,21,0.3333333333333333,0.4444444444444444,7.777777777777778,0.1111111111111111,-151,human
AMCWOMENSSOCCER,21.0,False,303,118,1252,8,280,0.0,0.5,1.5,0.0,185,human
AMD_UK,41.0,True,100336,526,8660,198,4220,3.5,38.333333333333336,24.5,0.6666666666666666,99810,human
AMIAinformatics,10.0,False,15833,976,13852,448,2610,0.125,0.375,4.375,0.375,14857,human
AMNH,44.0,True,515495,954,22729,4964,11491,1.6,22.7,141.4,1.8,514541,human
AMRC,13.0,False,11074,1218,14943,227,2711,0.1,1.5,9.1,0.5,9856,human
AMasvingwe,10.0,False,11899,11768,38381,9,33,0.25,0.25,1.0,0.0,131,human
ANDYC_ram,22.0,True,107210,473,36169,857,2511,0.8571428571428571,0.8571428571428571,12.714285714285714,0.2857142857142857,106737,human
ANNA_SEDOKOVA,1.0,True,1029345,1,16479,1270,1582,6.0,1.0,13.0,0.0,1029344,human
ANWarriorBot,144.0,False,32,0,1646,2,0,0.0,0.0,0.0,0.0,32,bot
