date,content,username,description,display_name,verified,followersCount,friendsCount,tweetsCount,listedCount,mediaCount,language,replyCount,retweetCount,likeCount,quoteCount,sourceUrl,sourceLabel
2022-12-10 23:56:22+00:00,@HumbleOwls Coulda just said you liked the art,ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,1,0,1,0,http://twitter.com/download/android,Twitter for Android
2022-12-10 21:56:53+00:00,THIS IS SO FRIGGIN COOL! AAAAH! twitter.com/uzuriartonline…,ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,2,8,116,0,http://twitter.com/download/android,Twitter for Android
2022-12-10 20:54:37+00:00,Lego Skywalker I'm sure that was a fun and interesting puzzle that made good use of the gameplay mechanics but unfortunately i will just be setting plyer 2 to BB-8 floating him to the brick and switching to him real quick.,ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,0,0,53,0,http://twitter.com/download/android,Twitter for Android
2022-12-10 20:47:27+00:00,"@passing_someone ""Capture her voice"" as in the expression for getting her personality/spirit right",ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,0,0,1,0,http://twitter.com/download/android,Twitter for Android
2022-12-10 20:45:58+00:00,I have experienced my first Skywalker Saga crash and istg if this starts happening and corrupts my save I'm burning the disc,ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,1,0,36,0,http://twitter.com/download/android,Twitter for Android
2022-12-10 20:42:11+00:00,@TElite555 I haven't gotten to the end yet but she's bouncing around planets to hide on so it seems an easy fix,ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,1,0,1,0,http://twitter.com/download/android,Twitter for Android
2022-12-10 20:19:27+00:00,"""This was taken out of continuity by this"" ""This was Legends"" ""This is the new canon"" ""This was canon but isn't anymore""  That's cool but i like it so I'ma go ahead a throw it in the saucepan",ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,3,0,80,0,http://twitter.com/download/android,Twitter for Android
2022-12-10 20:15:59+00:00,Apparently the Asohka book I'm reading  was made non-canon by the Tales Of The Jedi episode but luckily Star Wars continuity in my brain is whatever i like and decide to stick together like a Frankenstein.,ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,24,9,296,1,http://twitter.com/download/android,Twitter for Android
2022-12-10 19:58:51+00:00,I enjoyed Resistance but it felt like nothing but down time. Which isn't a bad thing but damn i wish we had some more of this in it.,ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,4,0,45,0,http://twitter.com/download/android,Twitter for Android
2022-12-10 19:57:57+00:00,I suddenly wish Resistance had more seasons twitter.com/rPrequelMemes/…,ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,9,29,339,0,http://twitter.com/download/android,Twitter for Android
2022-12-10 19:54:18+00:00,The actor asdie... She just didn't really feel like Ahsoka to me and i can't tel if that's a failure to capture her voice or if it was just how she is after all that time passed. twitter.com/ilydarth/statu…,ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,3,0,50,0,http://twitter.com/download/android,Twitter for Android
2022-12-10 19:31:47+00:00,Time to hunt an Angela &amp; Sera reading list because they look so damn cool!,ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,3,1,66,0,http://twitter.com/download/android,Twitter for Android
2022-12-10 19:30:56+00:00,I'M SO GAY OMG https://t.co/AQPgZb7VyY,ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,8,45,621,1,http://twitter.com/download/android,Twitter for Android
2022-12-10 19:26:39+00:00,Then we get What If and Marvel's Spider-Man. IT'S NOT FAIR I TELLS YA,ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,8,4,506,1,http://twitter.com/download/android,Twitter for Android
2022-12-10 19:26:16+00:00,Marvel will go unreasonably hard on the animation for game trailers https://t.co/t6gjBOBouK,ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,46,513,8397,31,http://twitter.com/download/android,Twitter for Android
2022-12-10 19:22:27+00:00,FUCKING BEAUTIFUL! https://t.co/2uOGMDvJDP,ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,3,85,722,0,http://twitter.com/download/android,Twitter for Android
2022-12-10 19:21:09+00:00,HOLY SHIT?! AND FOR A MOBILE CARD GAME?! twitter.com/MARVELSNAP/sta…,ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,3,13,170,0,http://twitter.com/download/android,Twitter for Android
2022-12-10 18:53:31+00:00,Love this look for Leia! https://t.co/OX3QaIOdj4,ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,1,11,144,1,http://twitter.com/download/android,Twitter for Android
2022-12-10 18:39:10+00:00,The All-New Ultimates were such a great lineup! https://t.co/Te7dw02sTc,ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,14,29,261,1,http://twitter.com/download/android,Twitter for Android
2022-12-10 11:57:28+00:00,Otto being booed off the stage by the Avengers during that whole Asgard thing is hilarious https://t.co/HHXCT9DGa3,ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,12,67,1027,2,http://twitter.com/download/android,Twitter for Android
